goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name, evaluation_name_eng,evaluation_name_fre,evaluation_level_name , evaluation_group_name_eng, evaluation_group_name_fre
Balance on 2 feet ,Équilibre sur les deux pieds ," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
Fall down & get up ,Tomber et se relever ," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
Move forward ,Patinage avant," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
Move backward ,Patinage arrière," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
360° march ,Marche et rotation de 360°," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
Make snow,Faire de la neige," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
2-ft jump,Saut sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
2-ft twist,Torsion sur deux pieds," a:1:{s:4:""type"";s:4:""bool"";}                                                        ",1, Months        ,1,                             ,CanSkate                                        ,Pre-CanSkate                          ,Pre-CanSkate,Pré-patinage plus,Pre-CanSkate,Pre-CanSkate,Pré-patinage plus
